Angle,Radians,Pred_Sin,True_Sin,Sin_Error,Pred_Cos,True_Cos,Cos_Error,Pred_Tan,True_Tan,Tan_Error
0°,0.000000,0.039062,0.000000,0.039062,0.976562,1.000000,0.023438,0.040000,0.000000,0.040000
30°,0.523599,0.507812,0.500000,0.007813,0.875000,0.866025,0.008975,0.580357,0.577350,0.003007
45°,0.785398,0.710938,0.707107,0.003831,0.718750,0.707107,0.011643,0.989130,1.000000,0.010870
60°,1.047198,0.851562,0.866025,0.014463,0.554688,0.500000,0.054687,1.535211,1.732051,0.196839
90°,1.570796,0.984375,1.000000,0.015625,0.054688,0.000000,0.054687,18.000000,16331239353195370.000000,16331239353195352.000000
120°,2.094395,0.968750,0.866025,0.102725,-0.554688,-0.500000,0.054688,-1.746479,-1.732051,0.014428
135°,2.356194,0.875000,0.707107,0.167893,-0.867188,-0.707107,0.160081,-1.009009,-1.000000,0.009009
150°,2.617994,0.625000,0.500000,0.125000,-0.953125,-0.866025,0.087100,-0.655738,-0.577350,0.078387
180°,3.141593,0.015625,0.000000,0.015625,-0.976562,-1.000000,0.023438,-0.016000,-0.000000,0.016000
210°,3.665191,-0.523438,-0.500000,0.023438,-0.851562,-0.866025,0.014463,0.614679,0.577350,0.037329
225°,3.926991,-0.718750,-0.707107,0.011643,-0.632812,-0.707107,0.074294,1.135803,1.000000,0.135803
240°,4.188790,-0.882812,-0.866025,0.016787,-0.429688,-0.500000,0.070313,2.054545,1.732051,0.322495
270°,4.712389,-0.976562,-1.000000,0.023438,0.093750,-0.000000,0.093750,-10.416667,5443746451065123.000000,5443746451065133.000000
300°,5.235988,-0.851562,-0.866025,0.014463,0.562500,0.500000,0.062500,-1.513889,-1.732051,0.218162
315°,5.497787,-0.687500,-0.707107,0.019607,0.750000,0.707107,0.042893,-0.916667,-1.000000,0.083333
330°,5.759587,-0.453125,-0.500000,0.046875,0.890625,0.866025,0.024600,-0.508772,-0.577350,0.068578
360°,6.283185,0.039062,-0.000000,0.039063,0.976562,1.000000,0.023438,0.040000,-0.000000,0.040000
