Angle,Radians,Pred Sin,True Sin,Sin Error,Pred Cos,True Cos,Cos Error
0°,0.000000,0.000000,0.000000,0.000000,0.984375,1.000000,0.015625
30°,0.523599,0.500000,0.500000,0.000000,0.851562,0.866025,0.014463
45°,0.785398,0.687500,0.707107,0.019607,0.750000,0.707107,0.042893
60°,1.047198,0.859375,0.866025,0.006650,0.570312,0.500000,0.070312
90°,1.570796,0.968750,1.000000,0.031250,0.039062,0.000000,0.039062
120°,2.094395,0.953125,0.866025,0.087100,-0.726562,-0.500000,0.226563
135°,2.356194,0.835938,0.707107,0.128831,-0.937500,-0.707107,0.230393
150°,2.617994,0.546875,0.500000,0.046875,-0.976562,-0.866025,0.110537
180°,3.141593,0.078125,0.000000,0.078125,-0.984375,-1.000000,0.015625
210°,3.665191,-0.500000,-0.500000,0.000000,-0.867188,-0.866025,0.001162
225°,3.926991,-0.695312,-0.707107,0.011794,-0.695312,-0.707107,0.011794
240°,4.188790,-0.867188,-0.866025,0.001162,-0.460938,-0.500000,0.039063
270°,4.712389,-0.976562,-1.000000,0.023438,0.078125,-0.000000,0.078125
300°,5.235988,-0.859375,-0.866025,0.006650,0.531250,0.500000,0.031250
315°,5.497787,-0.695312,-0.707107,0.011794,0.726562,0.707107,0.019456
330°,5.759587,-0.484375,-0.500000,0.015625,0.882812,0.866025,0.016787
360°,6.283185,0.000000,-0.000000,0.000000,0.984375,1.000000,0.015625
