Angle,Radians,Pred_sin,True_sin,Error_sin,Pred_cos,True_cos,Error_cos
0°,0.0000,0.000000,0.000000,0.000000,0.984375,1.000000,0.015625
30°,0.5236,0.500000,0.500000,0.000000,0.851562,0.866025,0.014463
45°,0.7854,0.687500,0.707107,0.019607,0.750000,0.707107,0.042893
60°,1.0472,0.859375,0.866025,0.006650,0.570312,0.500000,0.070312
90°,1.5708,0.968750,1.000000,0.031250,0.039062,0.000000,0.039062
120°,2.0944,0.953125,0.866025,0.087100,-0.726562,-0.500000,0.226563
135°,2.3562,0.835938,0.707107,0.128831,-0.937500,-0.707107,0.230393
150°,2.6180,0.546875,0.500000,0.046875,-0.976562,-0.866025,0.110537
180°,3.1416,0.078125,0.000000,0.078125,-0.984375,-1.000000,0.015625
270°,4.7124,-0.976562,-1.000000,0.023438,0.078125,-0.000000,0.078125
360°,6.2832,0.000000,-0.000000,0.000000,0.984375,1.000000,0.015625
-90°,-1.5708,-0.976562,-1.000000,0.023438,0.078125,0.000000,0.078125
-180°,-3.1416,0.078125,-0.000000,0.078125,-0.984375,-1.000000,0.015625
